state,state_code,year,minJanuary,minFebruary,minMarch,minApril,minMay,minJune,minJuly,minAugust,minSeptember,minOctober,minNovember,minDecember,maxJanuary,maxFebruary,maxMarch,maxApril,maxMay,maxJune,maxJuly,maxAugust,maxSeptember,maxOctober,maxNovember,maxDecember
Alabama,001,1968,31.5,28,38,51.1,56.8,64.2,67.5,67.5,59.4,50,38.8,30.7,53.1,51.9,66.1,76.4,81.3,91,89.9,91.2,85.3,77.1,62.8,54.3
Alabama,001,1969,33,34.8,35.3,51.1,57.6,65,69.9,65.5,60.5,52.7,35.9,31.9,53.6,56.9,59.8,76.8,82.1,90.6,92.3,88.6,83.6,75.4,64.4,55.1
Alabama,001,1970,27.6,30.7,41.2,53.3,57.2,64.3,67,69.1,65.6,53,36.5,37.4,48.3,57.9,64.3,78.2,84.5,86.2,91,89.2,89.2,75.3,62.1,61.4
Alabama,001,1971,34.1,33.2,37.4,46.1,53.6,65.7,67.9,67.4,65.1,55.9,39.1,45.5,55.8,58.4,62.5,76.3,79.5,90.2,88.2,88,85.3,79.5,65.2,64.3
Alabama,001,1972,37.7,36,42.1,50.1,56.9,62.6,66.1,67.3,64.9,51.2,41,39,60.4,58,68.1,76.9,80.6,87.4,89.2,90.9,89.4,75.5,60.5,59.2
Alabama,001,1973,32.8,32.4,49.3,49,55.1,65.9,69.4,66.4,65.8,53.7,45.2,34,53.6,56.9,70.4,71.2,80.3,87.8,90.4,88.7,87.1,79.6,70,57.9
Alabama,001,1974,45.9,35,47.4,48.4,60.3,61.8,67.3,67.1,61,45.2,39.3,36,64,60.4,72.8,75.7,83.4,85,90.4,88.4,80.7,75.3,66,57.5
Alabama,001,1975,37.9,39.5,41.4,48.2,61.3,64.9,68,68.5,60.1,52.8,42.3,33.9,60.2,62.6,66,73.5,83.2,87.3,88,88.6,80.8,75.7,66.4,56.5
Alabama,001,1976,28.3,38.8,46.6,48,54.1,63.2,67.1,65.2,61,45.3,33.4,29.9,52.8,67.2,69.8,77.4,76.6,85.9,90,89,83,70.5,58.3,54.2
Alabama,001,1977,23,31.2,45.7,51.3,58.7,65.7,69.7,68.8,65.5,47.6,45.9,33.5,43.6,59.1,69.4,78.5,85.2,92.6,93,90.4,85.9,72.9,65.9,56
Alabama,001,1978,26.8,27.3,38.8,49.7,58.4,66.6,69.4,68.4,65.2,46.8,46.1,34,44.4,50.3,63.6,78,81.6,89.3,92.1,90.2,88.6,77.6,72.3,59.2
Alabama,001,1979,27.8,33.8,42.6,52.2,58.2,63.6,69.5,67.3,63.3,48.1,39.8,33.7,47.8,53.4,68.9,75.1,80.7,86.8,88.4,89.6,81.9,76.7,65.8,57.6
Alabama,001,1980,37.6,30.8,41,47.5,59.2,65.4,70.5,69.1,65.9,47,39.9,32,55.8,54.7,64.2,73.7,81.1,89.4,94.8,94,90.3,73.5,64.1,58
Alabama,001,1981,26.8,35,38.5,53.7,54.5,68.7,69.8,67.6,58,49.5,40.7,32.8,52.2,59.5,66,80,80,91.1,93,88.9,84.9,74.2,68.8,53.5
Alabama,001,1982,31.4,37.2,47,49,58.6,64.6,69,68.4,60.2,51.5,43.4,42.8,54.4,59.6,70,71.9,84.7,88,90,88.8,84.2,76.7,66.7,62
Alabama,001,1983,32.2,36.8,40.8,45.2,56.7,64.4,69.1,69.2,60.2,51.9,40.4,31.6,52.1,56.4,63.2,70.4,80.5,84.6,92,93,83.8,76.1,66,52
Alabama,001,1984,29,35.5,40.7,49.3,56.2,64,67.5,67.2,59.3,58,39,43.5,51.7,61.7,66.8,72.8,81.3,90.2,89,87.4,85.7,81,64.5,66.6
Alabama,001,1985,25.9,34.8,46.4,50.6,58.9,66,68.2,68.1,61,57.8,51.4,29.1,48.5,56.3,70.9,77.4,82.4,89,88.8,88.6,84.4,77.4,71.2,54
Alabama,001,1986,30,39.6,41.3,47,59.5,67.8,70.3,67,65.8,53.1,49.7,37.3,56.2,63.4,69.4,78,83.2,90.3,94.2,89.7,86.8,75.6,67.9,54.5
Alabama,001,1987,32.5,38.5,43.6,45.9,62.4,66,68.6,70,61.3,41.4,42.5,39.3,53.5,58,67.7,74.6,84.5,87.9,91.8,92.6,85.9,74.2,69,61.5
Alabama,001,1988,30.8,32.6,41.2,49.7,53.7,63,68.8,69.5,65.3,46.8,44.6,34.4,50.6,58.1,67.4,75.8,82.9,91.2,89.1,91.2,83.7,71.6,68.4,59.3
Alabama,001,1989,39,38.1,46,47.9,57.1,66.5,69.5,67.6,63,49.2,41.3,27.6,62.1,58,68.5,74.3,80,85.6,87.8,89.6,82.8,75.4,66.6,49.1
Alabama,001,1990,38.6,43.6,45.9,47.8,57.8,65.5,68.4,67.9,62.5,50.3,41.6,39.8,61,65.8,70.2,74.9,81,89.8,90.5,93.9,90,77.7,71.3,62
Alabama,001,1991,37.6,39.3,44.6,55.2,64.3,66.8,70.3,68.4,62.5,51.1,37.7,38.8,53.9,61.6,69.2,76.5,82.2,86.8,90.6,89.3,86.3,78.1,63,60.8
Alabama,001,1992,33.9,39.3,42,48.5,55,64.3,69.8,66,63.8,49.4,41.6,38.3,54.3,63.5,67.8,74.5,81,85.4,89.9,85.7,83,74.4,63.2,55.9
Alabama,001,1993,39.6,34.7,40.4,45.9,57.3,66.1,70.5,69.3,62.2,50.8,39.2,34.9,58,57.8,63,71.6,80.3,89.1,93.8,90.9,85.9,74.8,64.2,55.7
Alabama,001,1994,30.8,38.3,42.3,51.3,56.2,68.2,68.5,66.8,61,54.2,46.4,40,50.9,62.2,69.2,78.2,80.6,87.4,86.6,87.5,83.4,73.6,69.6,59.8
Alabama,001,1995,34.9,36,46.9,49.8,60.5,63.7,69.5,71.6,62,51.4,37.5,34.1,56,59.2,69.6,76.5,83.7,86.7,92.8,92.2,85.5,75.8,61.8,55.2
Alabama,001,1996,31.7,35.4,39,46.3,60.5,66,69,67.7,61.3,50.9,41.5,37.7,55.4,59.1,62.8,73.7,85.4,87.4,90.2,88.1,83,74.6,64,60.6
Alabama,001,1997,35.8,40.8,48.4,46.1,55.1,65,70,67,62.4,50.5,39.2,34.7,56,60.8,74,71.6,79.2,82.9,90.2,88.4,87.2,75.8,60.7,54.8
